1	5.829	0.000	0.000	0.000
2	9.328	0.000	0.000	0.000
3	5.008	0.000	0.000	0.000
4	5.021	0.000	0.000	0.000
5	4.875	0.000	0.000	0.000
6	5.026	0.000	0.000	0.000
7	4.917	0.000	0.000	0.000
8	4.921	0.000	0.000	0.000
9	4.929	0.000	0.000	0.000
10	4.921	0.000	0.000	0.000
11	4.910	0.000	0.000	0.000
12	4.895	0.000	0.000	0.000
13	4.901	0.000	0.000	0.000
14	4.897	0.000	0.000	0.000
15	4.906	0.000	0.000	0.000
16	4.926	0.000	0.000	0.000
17	4.910	0.000	0.000	0.000
18	4.933	0.000	0.000	0.000
19	4.929	0.000	0.000	0.000
20	4.905	0.000	0.000	0.000
21	4.921	0.000	0.000	0.000
22	4.899	0.000	0.000	0.000
23	4.903	0.000	0.000	0.000
24	4.915	0.000	0.000	0.000
25	4.921	0.000	0.000	0.000
26	4.909	0.000	0.000	0.000
27	4.920	0.000	0.000	0.000
28	4.911	0.000	0.000	0.000
29	4.897	0.000	0.000	0.000
30	4.930	0.000	0.000	0.000

4.617	0.000	0.000	0.000
